trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
28,Q6_NS_SETRANK_PROXY,0.06189253289733418,0.012267311525793112,1.0,0.375,0.875,1.0,0.375,0.875,1.0,-0.1195659792205693,-0.8030993647555791,0.75,0.375,0.0,0.0,-0.25,0.0
29,baseline_first,0.14850163130460367,0.0773960565253524,0.375,0.0,0.625,1.0,0.5,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Q1_UQ_PQR,0.06230956047907151,0.006938047840627087,1.0,0.375,0.875,1.0,0.375,0.875,1.0,-0.08619207082553215,-0.9103565717414245,0.625,0.375,0.25,0.0,-0.125,0.0
29,Q2_RFR,0.05655492072189191,0.00508783753934205,0.875,0.375,1.0,1.0,0.375,0.75,1.0,-0.09194671058271175,-0.9342623155783727,0.5,0.375,0.375,0.0,-0.125,-0.125
29,Q4_CPRC,0.06230956047907151,0.006938047840627087,1.0,0.375,0.875,1.0,0.375,0.875,1.0,-0.08619207082553215,-0.9103565717414245,0.625,0.375,0.25,0.0,-0.125,0.0
29,Q6_NS_SETRANK_PROXY,0.06475982608850248,0.011608000155311111,0.875,0.375,1.0,1.0,0.375,0.75,1.0,-0.0837418052161012,-0.8500181963210398,0.5,0.375,0.375,0.0,-0.125,-0.125
30,baseline_first,0.18693330722856302,0.05109885347932034,0.0,0.0,0.75,1.0,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Q1_UQ_PQR,0.06692220184188388,0.012586583697758474,0.875,0.5,1.0,1.0,0.5,0.75,1.0,-0.12001110538667914,-0.75368168088444,0.875,0.5,0.25,0.0,-0.125,-0.125
30,Q2_RFR,0.05575757944544321,0.011570531106220612,0.875,0.375,1.0,1.0,0.375,0.75,1.0,-0.1311757277831198,-0.7735657393780235,0.875,0.375,0.25,0.0,-0.25,-0.125
30,Q4_CPRC,0.07160094161615846,0.0131834369675825,0.875,0.375,0.875,1.0,0.375,0.75,1.0,-0.11533236561240456,-0.7420013156867047,0.875,0.375,0.125,0.0,-0.25,-0.125
30,Q6_NS_SETRANK_PROXY,0.07592444848494315,0.012624052746848975,0.875,0.5,1.0,1.0,0.5,0.75,1.0,-0.11100885874361988,-0.752948414939331,0.875,0.5,0.25,0.0,-0.125,-0.125
31,baseline_first,0.12523612397291037,0.024233999017868612,0.5,0.5,0.875,1.0,0.75,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Q1_UQ_PQR,0.07554040576429463,0.006120860979632138,0.875,0.5,1.0,1.0,0.5,1.0,1.0,-0.049695718208615736,-0.747426705137728,0.375,0.0,0.125,0.0,-0.25,0.125
