method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,formal_seed
A0_E3G,43,43,20043,-49.71504592895508,-8.28584098815918,0.0492248944938182,0.122676866572183,True,0.6123869010480121,22,GdCuPd,Cu-Gd-Pd,2.820613701077629,False,False,0.121315834754629,0.011946526814398,False,False,True,True,True,True,True,True,True,True,True,0.121315834754629,0.103739849492296,20043
A0_E3G,44,44,20044,-24.20569610595703,-6.051424026489258,0.0352270975708961,0.0424701388198569,True,0.0552745640743523,2,FeCuNi2,Cu-Fe-Ni,2.468106280393079,False,False,0.0474922175849013,0.0008919344160696,False,True,True,True,True,False,False,True,True,False,True,0.0474922175849013,0.0474922175849013,20044
A0_E3G,45,45,20045,-86.42652893066406,-7.202210744222005,0.0485041439533233,0.1314019737016792,True,1.3309309200849384,48,TmFe3Co8,Co-Fe-Tm,2.3279046609687013,False,False,0.1556890067214666,0.0234546446734591,False,False,True,True,True,True,True,True,True,True,True,0.1556890067214666,0.1521424356352252,20045
A0_E3G,46,46,20046,-90.1112823486328,-9.011128234863282,0.0381518490612506,0.0579492079935191,True,0.7884353729896247,30,Eu3FeO6,Eu-Fe-O,2.0505222963779053,False,False,0.2125601811014839,0.0100417964520124,False,False,True,True,True,True,True,True,True,True,True,0.2125601811014839,0.1745066983634835,20046
A0_E3G,47,47,20047,-26.739280700683597,-6.684820175170898,0.0228118952363729,0.0250994430734815,True,0.071628289995715,3,SmEu2Mg,Eu-Mg-Sm,3.5144044968952146,False,False,0.1046360129906442,0.0007575729097239,False,False,True,True,True,True,True,True,True,True,True,0.1046360129906442,0.1046360129906442,20047
A0_E3G,48,48,20048,-86.75778198242188,-8.675778198242188,0.0482203662395477,0.1533569371888065,True,0.6761381529504433,25,NaEu2ReO6,Eu-Na-O-Re,1.9152552369855684,False,False,0.1006408057356562,0.0207957590032022,False,False,True,True,True,False,False,True,True,False,True,0.1006408057356562,0.074113313926551,20048
A0_E3G,49,49,20049,-91.87850189208984,-7.65654182434082,0.0416504368185997,0.057964090059445,True,1.0662033240078015,38,EuCo4B,B-Co-Eu,2.040369260158311,False,False,0.0903492994037051,0.0074644387987101,True,True,False,False,True,True,True,True,True,True,True,0.0903492994037051,0.0542147912165233,20049
A0_E3G,50,50,20050,-75.68343353271484,-7.5683433532714846,0.0489259697496891,0.227943746653314,True,1.1311337560182435,45,EuCu2ReO6,Cu-Eu-O-Re,1.920561723347272,False,False,0.1878543133191978,0.0174410409000855,False,False,True,True,True,True,True,True,True,True,False,0.1878543133191978,0.1878543133191978,20050
A0_E3G,51,51,20051,-60.92597961425781,-8.703711373465401,0.0378249883651733,0.1924378223586911,True,0.6270180640276521,25,Eu3(PPt)2,Eu-P-Pt,2.287802487660741,False,False,0.0997167536774767,0.0148242618843396,True,True,False,False,True,True,True,True,True,True,True,0.0997167536774767,0.0285694041889019,20051
A0_E3G,52,52,20052,-73.7889175415039,-5.270636967250279,0.0455003157258033,0.3481568127215548,True,1.2110824410337957,43,MgFe(NiO2)4,Fe-Mg-Ni-O,1.9082585418606264,False,False,0.3167878577624066,0.0251007222365849,False,False,True,True,True,True,True,True,True,True,True,0.3167878577624066,0.3167878577624066,20052
