comparison,kind,field_or_block,stage,outcome,spearman_rho,two_sided_p,n
TCL_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,atomic_force_mean,0.7563508525978484,1.0089886889711139e-48,256
TCL_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,rmsd,0.7322886981232768,2.827512783899474e-44,256
TCL_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,relaxation_steps,0.7090052707629204,2.0826025478465778e-40,256
TCL_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,e_hull,0.40102140077821,2.6133966471964358e-11,256
TCL_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,severe,0.4415773518153178,1.2135815677844355e-13,256
TCL_vs_C0,cfg2_score,pos,mid_30_70,initial_max_force,-0.2533095387960631,4.1281434524584655e-05,256
TCL_vs_C0,cfg2_score,pos,mid_30_70,atomic_force_mean,-0.21288123712520027,0.0006062173903383471,256
TCL_vs_C0,cfg2_score,pos,mid_30_70,rmsd,-0.19016261411411203,0.0022457880124603018,256
TCL_vs_C0,cfg2_score,pos,mid_30_70,relaxation_steps,-0.3691817043062859,1.0967257592031458e-09,256
TCL_vs_C0,cfg2_score,pos,mid_30_70,e_hull,0.022621738384069577,0.718680665838493,256
TCL_vs_C0,cfg2_score,pos,mid_30_70,severe,-0.06014786407309502,0.3377984406469552,256
TCL_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,initial_max_force,0.4010399977111466,2.6073883690628796e-11,256
TCL_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,atomic_force_mean,0.4029390306706339,2.059696636553635e-11,256
TCL_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,rmsd,0.2864614840462472,3.178136830178564e-06,256
TCL_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,relaxation_steps,0.4405269475976987,1.4077064524018416e-13,256
TCL_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,e_hull,0.15182106889448382,0.015042267548291938,256
TCL_vs_C0,conditional_hidden,gemnet_h1,early_0_30_high_to_mid_noise,severe,0.25193080771599635,4.5596773669439374e-05,256
TCL_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,initial_max_force,0.21703979743648427,0.00046977406395778634,256
TCL_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,atomic_force_mean,0.2158352883955138,0.0005060326317297036,256
TCL_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,rmsd,-0.0011923497211085608,0.9848536778920135,256
TCL_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,relaxation_steps,0.1497759715867092,0.01647446242512305,256
