relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
experiments/replication_50000_50063/source_files.md,76,2a5dc6391ee7d35666c9521e5b6f715ddb28fac7b1ba64ddd37fb0d6ab53c824,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/statistics.json,249,57669b7370a7f34b5cc254bfafee14b9e84d42a3f2469443a9b0fa848e16460b,experiment,archive_wide,False,,generated,
experiments/source_data_incomplete_audit/README.md,1940,dfff7669d9760d80a8620b56043fda3a2c78fce4351d07d75b3cada008573e96,experiment,source_data_incomplete,False,,generated,
experiments/source_data_incomplete_audit/data_schema.md,83,12b744c38ab8b160b0dfb8157aad91b202e353349ea996587900bbe5064008ca,experiment,source_data_incomplete,False,,generated,
experiments/source_data_incomplete_audit/experiment_manifest.json,858,a229a68b710a6ecdea6d77eb916a75883d2cec0941d7713d949cfab2bbf305a4,experiment,source_data_incomplete,False,,generated,
experiments/source_data_incomplete_audit/final_summary.json,2227,9e8cbd7602d8a88d268499c16ebd972f93bbd52533598d169972fc33e963c85e,experiment,source_data_incomplete,False,,generated,
experiments/source_data_incomplete_audit/limitations.md,172,f5f5b14aa26c74ea064cc964f00a4f45cd2f48378ea0ecb67f3e59bd256e5491,experiment,source_data_incomplete,False,,generated,
experiments/source_data_incomplete_audit/reproduction.md,118,2ecfc558a1f3ffa27aae5623fa42d8e5714d53a2e7439ddeba6399c035385507,experiment,source_data_incomplete,False,,generated,
experiments/source_data_incomplete_audit/seeds.txt,21,824dc97c19699bb70b39348c0488e963bee6ee42a5d1d13875f091b1ae442f99,experiment,source_data_incomplete,False,,generated,
experiments/source_data_incomplete_audit/source/final_report.md,520,3c1d22181db05e648127098bb382121e384ba1386dba511c73ce6be0971a0f88,experiment,source_data_incomplete,False,,original_copy,
experiments/source_data_incomplete_audit/source/final_summary.json,2227,9e8cbd7602d8a88d268499c16ebd972f93bbd52533598d169972fc33e963c85e,experiment,source_data_incomplete,False,,original_copy,
experiments/source_data_incomplete_audit/source/reuse_audit.csv,133730,ee961c5e4f091b344d7fc6d7e0d7130774522f8206fad3b455cbf3745a2beb44,experiment,source_data_incomplete,False,,original_copy,
experiments/source_data_incomplete_audit/source/reuse_audit.json,272742,c68f7f46df43a703409d09c1a91539c5f1d4153e82e3df122d899fbf756e9bd0,experiment,source_data_incomplete,False,,original_copy,
experiments/source_data_incomplete_audit/source/reuse_audit.md,542,41278582398f366c5c21c5e3cacf3e45b9484842ee182f644027ba2da724d92d,experiment,source_data_incomplete,False,,original_copy,
experiments/source_data_incomplete_audit/source_files.md,96,736b7d562238fea6795f770ab1d2f7ffc4dad70f71e543f2b5f816d926ea12f3,experiment,source_data_incomplete,False,,generated,
figures/README.md,163,30701dfeb101ecf014f5037bc93ea6b5ffa958ebceba4e0c1e6fb7f8b3e32231,figure,archive_wide,False,,generated,
figures/generated/fig1_adaptive_cfg_metrics.pdf,13382,915bd68b3b893548251a71d7f010eb4152bf13b0ebf3fbd25773db39a7cdb954,figure,archive_wide,False,,generated,
figures/generated/fig1_adaptive_cfg_metrics.png,32040,1be888a560e601a6705236b41cd99e8540e1ed089bcf0e2513ee06fce53efe9a,figure,archive_wide,False,,generated,
figures/generated/fig1_adaptive_cfg_metrics.svg,22685,f5fbf3e08a9a95fdf3ca10ca6d902acc1503f7388445be62c9ba71ebe128952b,figure,archive_wide,False,,generated,
figures/generated/fig2_e3_pcr_force.pdf,11549,7720df6a62a21c9924b331ded530e3b50f5451e88b8ce26cc310bb2deb1440ad,figure,archive_wide,False,,generated,
figures/generated/fig2_e3_pcr_force.png,42684,2cd59ba253924aafdc63663f987d9f5067f92d69aff59cdf462fb76132cb5222,figure,archive_wide,False,,generated,
figures/generated/fig2_e3_pcr_force.svg,21408,f6369bc4362828be2cb988d95426100e46c8666f85ac160a52ea73020b4057ac,figure,archive_wide,False,,generated,
figures/generated/fig3_gate_safety.pdf,11767,8ea1180207a3d313556d71a7f9a7cb729ee4cc0aa794828d170375ab723b4421,figure,archive_wide,False,,generated,
figures/generated/fig3_gate_safety.png,40733,fc29d9cd51bf130f9a9d1bea5ea59c84e02b3354ac361e8d0ee6a7ac3db10f99,figure,archive_wide,False,,generated,
figures/generated/fig3_gate_safety.svg,21434,a900828e89dc254f4710222da9afeedfcf06cf1c620eda61b0d1a796f6300f33,figure,archive_wide,False,,generated,
figures/generated/fig4_compatibility_paired.pdf,15825,26bedec4a8239f7f69cf79a729f27b8886023a5a9e50d3a61def5d68a1850dc8,figure,archive_wide,False,,generated,
figures/generated/fig4_compatibility_paired.png,111532,049f0710770cd7bc5daf43de11a78109921c112f114fca1e1585fc8bdc6ae006,figure,archive_wide,False,,generated,
