method,seed,formula,num_atoms,relaxation_steps,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,streak_mean,streak_p95,streak_max,periodic_exact_calls
C0,69025,Fe5NiRh2,8,16,0.05301254927286969,1.0,1.0,1.0,1.0,0.004377865266888273,0.01040779008723719,0.022922459337398768,0.0,0.0,0,0
C0,69026,Eu2P,3,15,0.04648354156412715,1.0,1.0,1.0,1.0,0.0064826473945442924,0.18511297443680452,0.27719790969130237,0.0,0.0,0,0
C0,69027,Fe6P5,11,194,0.22029733969460175,0.0,0.0,1.0,1.0,0.19316514803861137,0.2839165308948683,0.6221378344854049,0.0,0.0,0,0
C0,69028,Eu2LiSm,4,14,0.09977679783732096,1.0,0.0,0.0,1.0,0.045788447474427625,0.043127600481925,0.08500088458024775,0.0,0.0,0,0
C0,69029,CoFe2Ni2,5,7,0.09495980005273541,1.0,1.0,1.0,1.0,0.0026120631708327364,0.04577208994600598,0.06399898983819276,0.0,0.0,0,0
C0,69030,AuFe5Si,7,27,0.11613540799246636,0.0,0.0,1.0,1.0,0.05595257819420983,0.09349399300110138,0.25895072962444265,0.0,0.0,0,0
C0,69031,Fe2Mn2O4,8,23,0.05289812249674419,1.0,1.0,1.0,1.0,0.013285831907535125,0.09655909556141545,0.14599444680398635,0.0,0.0,0,0
C0,69032,Eu2O2P2Zn2,8,28,0.24143143219278684,0.0,0.0,1.0,1.0,0.09835635887836303,0.21073269505639575,0.38777445291056445,0.0,0.0,0,0
C0,69033,Fe2Gd4O8,14,39,0.20890523663225302,0.0,0.0,1.0,1.0,0.029059418458529513,0.2922551700280836,0.6236342864102279,0.0,0.0,0,0
C0,69034,Fe3Li3Mn2O7,15,76,0.14588303713151163,0.0,0.0,1.0,1.0,0.08397579480791123,0.20703008774439216,0.4472367605700808,0.0,0.0,0,0
C0,69035,HFe3Zn,5,6,0.047503946211914005,1.0,0.0,0.0,1.0,0.0014162225214278156,0.008656669110247955,0.015034048292875076,0.0,0.0,0,0
C0,69036,Eu6F6O6,18,28,0.028983586254341276,1.0,0.0,0.0,1.0,0.010895158811394866,0.0940838732790078,0.205790843399118,0.0,0.0,0,0
C0,69037,Fe2NiPd,4,10,0.05346164532714859,1.0,0.0,0.0,1.0,0.0010865255982799595,0.006374379828035722,0.008815445027365323,0.0,0.0,0,0
C0,69038,Co5FeGa2,8,3,0.1195201669201662,0.0,0.0,1.0,1.0,0.0011722079389318697,0.01681836582364527,0.047653702710041324,0.0,0.0,0,0
C0,69039,Co2Fe4,6,5,0.041948786746418776,1.0,0.0,0.0,1.0,0.001303311180759709,0.038688369163409064,0.054418930155015914,0.0,0.0,0,0
C0,69040,HFe3Ni,5,5,0.0683466669335937,1.0,0.0,0.0,1.0,0.0008240614892511186,0.00562600782642911,0.0077905396201932,0.0,0.0,0,0
C0,69041,EuGaNi2,4,17,0.020648410080566393,1.0,0.0,0.0,1.0,0.002383832856270607,0.11363907235874243,0.21576833281616858,0.0,0.0,0,0
C0,69042,Eu3Si2,5,25,0.061679427121093866,1.0,1.0,1.0,1.0,0.02522243888413796,0.10191811035560261,0.1419301683023863,0.0,0.0,0,0
C0,69043,Li2Mn2NiO5,10,23,0.07696221020898353,1.0,1.0,1.0,1.0,0.020952970656297802,0.10925996585263457,0.16533072099590085,0.0,0.0,0,0
C0,69044,Eu8P4,12,47,-0.14424941436849004,1.0,1.0,1.0,1.0,0.05789908604834294,0.1331897239296056,0.19656204475863723,0.0,0.0,0,0
C0,69045,Eu3Ga3Ni3,9,16,0.0775345766069897,1.0,0.0,0.0,1.0,0.003205527365910314,0.023620771769203536,0.057445348864325826,0.0,0.0,0,0
C0,69046,EuNdPd2,4,9,0.057287055817871746,1.0,1.0,1.0,1.0,0.0008932386396642887,0.005729317758167932,0.010791992619182985,0.0,0.0,0,0
C0,69047,Fe6Li2O8,16,38,0.054793319412842045,1.0,0.0,0.0,1.0,0.010583201124064629,0.0763092886891343,0.14885276409436207,0.0,0.0,0,0
