trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change_vs_first,rmsd_relative_change_vs_first,stable_change_vs_first,nus_change_vs_first
928,baseline_first,0.15148002117700468,0.09218992246249136,0.375,0.1875,0.78125,1.0,0.734375,0.96875,1.0,0.0,0.0,0.0,0.0
928,oracle_min_ehull,0.06363004817754227,0.022636170253110897,0.859375,0.421875,1.0,1.0,0.5625,0.921875,1.0,-0.08784997299946241,-0.7544615544901807,0.484375,0.234375
928,oracle_min_rmsd,0.10976630733759035,0.007776335742980174,0.5625,0.21875,1.0,1.0,0.578125,0.921875,1.0,-0.04171371383941433,-0.9156487440788978,0.1875,0.03125
928,oracle_stable_quality,0.06363004817754227,0.022636170253110897,0.859375,0.421875,1.0,1.0,0.5625,0.921875,1.0,-0.08784997299946241,-0.7544615544901807,0.484375,0.234375
928,oracle_nus_quality,0.07255284994266023,0.027021117915631093,0.859375,0.609375,1.0,1.0,0.765625,0.953125,1.0,-0.07892717123434445,-0.7068972703971523,0.484375,0.421875
929,baseline_first,0.1350508548488758,0.04380976362464814,0.4375,0.203125,0.84375,1.0,0.6875,0.9375,1.0,0.0,0.0,0.0,0.0
929,oracle_min_ehull,0.05641648293397469,0.013424800146165556,0.90625,0.5,1.0,1.0,0.578125,0.953125,1.0,-0.07863437191490111,-0.6935660219218227,0.46875,0.296875
929,oracle_min_rmsd,0.08749620029415654,0.005822122152548383,0.71875,0.296875,1.0,1.0,0.53125,0.90625,1.0,-0.04755465455471926,-0.8671044609500528,0.28125,0.09375
929,oracle_stable_quality,0.05641648293397469,0.013424800146165556,0.90625,0.5,1.0,1.0,0.578125,0.953125,1.0,-0.07863437191490111,-0.6935660219218227,0.46875,0.296875
929,oracle_nus_quality,0.0608569127693742,0.03376922391678215,0.90625,0.609375,1.0,1.0,0.71875,0.953125,1.0,-0.0741939420795016,-0.22918497789422,0.46875,0.40625
930,baseline_first,0.13566948734134157,0.057588262193201116,0.453125,0.1875,0.84375,1.0,0.671875,0.921875,1.0,0.0,0.0,0.0,0.0
930,oracle_min_ehull,0.058069677919536045,0.030183077369411317,0.84375,0.4375,1.0,1.0,0.578125,0.90625,1.0,-0.07759980942180553,-0.47588143451609943,0.390625,0.25
930,oracle_min_rmsd,0.1037294713248681,0.005077718632630557,0.609375,0.21875,1.0,1.0,0.53125,0.890625,1.0,-0.03194001601647348,-0.9118271946530445,0.15625,0.03125
930,oracle_stable_quality,0.058069677919536045,0.030183077369411317,0.84375,0.4375,1.0,1.0,0.578125,0.90625,1.0,-0.07759980942180553,-0.47588143451609943,0.390625,0.25
930,oracle_nus_quality,0.066324202006941,0.04192799225233652,0.84375,0.5625,1.0,1.0,0.71875,0.9375,1.0,-0.06934528533440057,-0.2719351017804016,0.390625,0.375
931,baseline_first,0.13454807779037392,0.07587308389872953,0.421875,0.25,0.828125,1.0,0.78125,0.953125,1.0,0.0,0.0,0.0,0.0
931,oracle_min_ehull,0.060037707999043295,0.02355568694806761,0.859375,0.453125,1.0,1.0,0.5625,0.9375,1.0,-0.07451036979133063,-0.6895382955633091,0.4375,0.203125
931,oracle_min_rmsd,0.09620429900903257,0.005219450136565936,0.59375,0.21875,1.0,1.0,0.484375,0.9375,1.0,-0.03834377878134135,-0.9312081456510649,0.171875,-0.03125
931,oracle_stable_quality,0.060037707999043295,0.02355568694806761,0.859375,0.453125,1.0,1.0,0.5625,0.9375,1.0,-0.07451036979133063,-0.6895382955633091,0.4375,0.203125
931,oracle_nus_quality,0.06875055764783676,0.03042198934641848,0.859375,0.640625,1.0,1.0,0.78125,0.984375,1.0,-0.06579752014253716,-0.5990410856763937,0.4375,0.390625
932,baseline_first,0.15229979762632861,0.07249807924638452,0.4375,0.25,0.90625,1.0,0.78125,0.96875,1.0,0.0,0.0,0.0,0.0
932,oracle_min_ehull,0.059826131369552865,0.01274940022155245,0.84375,0.4375,1.0,1.0,0.546875,0.921875,1.0,-0.09247366625677575,-0.8241415447956401,0.40625,0.1875
932,oracle_min_rmsd,0.0934799972443626,0.006172981584104365,0.625,0.25,1.0,1.0,0.53125,0.890625,1.0,-0.05881980038196602,-0.9148531706181414,0.1875,0.0
932,oracle_stable_quality,0.059826131369552865,0.01274940022155245,0.84375,0.4375,1.0,1.0,0.546875,0.921875,1.0,-0.09247366625677575,-0.8241415447956401,0.40625,0.1875
