seed,c0_max_force,e3a_max_force,e3g_max_force,gate_on,exact_fallback
40069,0.1399382103296226,0.1463575230770322,0.1463573177095655,True,False
40070,0.4444544201182658,0.3635107038776244,0.4444543675306127,False,True
40071,0.1582440298469623,0.1856265843227985,0.1856279268423266,True,False
40072,0.735139037326495,0.2004019526961358,0.2004061070346163,True,False
40073,0.1563936862806616,0.1273159106774633,0.1273090088659419,True,False
40074,0.1139016123559185,0.1553883476203303,0.1139016934647066,False,True
40075,0.4793617068803067,0.4691173661061829,0.4691187823303392,True,False
40076,0.0278845813260843,0.0283932772704437,0.0283933022698278,True,False
40077,0.3660135701453461,0.3246097390874066,0.3246066214988243,True,False
40078,0.1127977407287156,0.0756287776355267,0.0756296426548309,True,False
40079,0.0349833021286574,0.0941030415221112,0.0941003334813808,True,False
40080,0.3818188384298344,0.2741284871192116,0.2741262941120106,True,False
40081,0.4228906499596777,0.4073996591987341,0.4074050111979514,True,False
40082,0.3228161564168058,0.3019192289842064,0.301926935561861,True,False
40083,0.0611760361809366,0.0539113911840276,0.0539116885032063,True,False
40084,0.1158070189085476,0.0936898976099322,0.0936898638349827,True,False
40085,0.2886599171782915,0.2885939302673612,0.2885911667892692,True,False
40086,0.8714933810449518,0.5033577860608645,0.5033580172537699,True,False
40087,0.5144175587508295,0.3336574193379531,0.333657270256415,True,False
40088,0.1390264964229436,0.1255000290984337,0.1255003728574191,True,False
40089,0.286098937849321,0.2791481424771018,0.2791492020362412,True,False
40090,0.3424755728666446,0.282517436911272,0.3424760629175225,False,True
40091,0.2176568647604798,0.1977227557443696,0.1977220882782076,True,False
40092,0.0158575492247569,0.010840289245299,0.0108403376640675,True,False
40093,0.1797236122224803,0.1221820230206915,0.1221823864621439,True,False
40094,0.2661382410900025,0.2183484656045998,0.2661383301995207,False,True
40095,0.3553700735343968,0.2909263186681901,0.290922806197878,True,False
40096,0.2453319699619829,0.170761617446288,0.1707615856033769,True,False
40097,0.5103962213651028,0.505145642837361,0.5051552637264117,True,False
40098,0.1136400360030167,0.1127472082064991,0.1136399522050342,False,True
40099,0.6984226557438749,0.5884124717730798,0.5884097708602273,True,False
40100,0.1967865775332126,0.1880598441801854,0.1880599378515705,True,False
40101,0.1641334153015421,0.1005858116908044,0.1641335426258252,False,True
40102,0.0099821050008798,0.0062753764062421,0.0099823795222748,False,True
40103,0.0064019715511723,0.0057177409649263,0.0064020655476707,False,True
