method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,tail_flags,dft_verified
GBSA-TCL,85015,Eu2GdTl3Cu2,0.10503148773266702,False,False,True,True,0.02374617816352321,0.042711802945279265,0.05172903974135418,26,,False
GBSA-TCL,85016,Eu2GdSi2Pt2Au,0.16769882242187428,False,False,True,True,0.04538256308245901,0.11684062243624527,0.3202573205916652,34,,False
GBSA-TCL,85017,GdFeO3,0.03768914089062392,True,False,False,True,0.008939810716378274,0.07751460421362508,0.14904284507023374,40,,False
GBSA-TCL,85018,EuAu5,0.011374236746419797,True,False,False,True,0.0008942636795690902,0.035435760723017455,0.08227151800817765,8,,False
GBSA-TCL,85019,MgMnO2,0.05850961558471646,True,False,False,True,0.0031531115652488058,0.044014353859350513,0.10451646905507955,36,,False
GBSA-TCL,85020,EuPt3,0.1743435571398928,False,False,True,True,0.0011157875348282074,0.012885407381014086,0.01766967122162436,8,,False
GBSA-TCL,85021,EuGd2Se3,0.24354764035156506,False,False,True,True,0.10526251871597686,0.24818820277922002,0.5146015953977423,83,,False
GBSA-TCL,85022,Eu2Pt,0.0137555840657555,True,True,True,True,0.030734288230036155,0.06298800863186753,0.09986468171252438,16,,False
GBSA-TCL,85023,Eu6GdB2O,0.4716213724679683,False,False,True,True,0.09576853238372753,0.3776408592182952,1.1504616785986963,61,MaxF>1,False
GBSA-TCL,85024,Eu3Ag,0.07247683031738283,True,True,True,True,0.042217788858272896,0.05229458412877805,0.09760456245484736,14,,False
GBSA-TCL,85025,Li(EuAu)2,0.07689632089214182,True,True,True,True,0.02349575250966025,0.061602119186126944,0.11448988349493636,25,,False
GBSA-TCL,85026,Eu8NiPb2,0.06565389261896115,True,True,True,True,0.025505869460000014,0.06456624542302306,0.1441628905047908,26,,False
GBSA-TCL,85027,Li5Eu(Gd2Pd3)2,0.08366664690348458,True,True,True,True,0.05626322490566373,0.11218753466997528,0.2106190301482829,45,,False
GBSA-TCL,85028,Li3Eu8Mg,0.058993765979817425,True,True,True,True,0.014818552551521548,0.02549181856825418,0.08898996561958994,16,,False
GBSA-TCL,85029,Eu3Pt,0.009542538032226489,True,True,True,True,0.021469617232891258,0.050540735149325194,0.0724664608752387,25,,False
GBSA-TCL,85030,EuAu,0.01188031797363287,True,False,False,True,0.004612948840929088,0.029941426177105046,0.037214526112186355,14,,False
GBSA-TCL,85031,Eu4Cu5H,0.06458322066992306,True,True,True,True,0.04454766860522848,0.08783379836882389,0.1859750868698461,34,,False
